¼øÀ§,¼±¼ö¸í,ÆÀ¸í,WAR,°æ±â,Å¸¼®,Å¸¼ö,µæÁ¡,¾ÈÅ¸,2·çÅ¸,3·çÅ¸,È¨·±,·çÅ¸,Å¸Á¡,µµ·ç,µµ·ç½ÇÆÐ,º¼³Ý,»ç±¸,°íÀÇ»ç±¸,»ïÁø,º´»ìÅ¸,Èñ»ýÅ¸,Èñ»ýÇÃ¶óÀÌ,Å¸À²,Ãâ·çÀ²,ÀåÅ¸À²,OPS,wOBA,wRC+,WAR2,WPA,¿¬µµ
11,±è¿ëÃ¶,82·Ô3B,2.93,71,300,253,39,76,13,0,10,119,39,6,7,41,4,2,30,6,0,2,0.3,0.403,0.47,0.874,0.397,142.5,2.93,,1982
12,±Ý±¤¿Á,82»ïC,2.85,77,306,263,38,71,12,3,9,116,37,2,4,39,1,1,30,3,1,2,0.27,0.364,0.441,0.805,0.365,121.5,2.85,,1982
13,Á¶Èï¿î,82»ïSS,2.73,79,327,299,43,85,16,4,4,121,35,44,12,24,0,0,28,4,4,0,0.284,0.338,0.405,0.742,0.337,104.0,2.73,,1982
14,Á¤ÇÐ¼ö,82·ÔSS,2.73,76,345,277,47,76,18,1,2,102,25,12,10,53,6,0,26,3,4,5,0.274,0.396,0.368,0.764,0.359,117.8,2.73,,1982
15,¿À´ë¼®,82»ïSS,2.72,72,307,258,48,73,15,1,4,102,30,14,1,37,3,1,33,3,4,4,0.283,0.374,0.395,0.77,0.351,113.0,2.72,,1982
16,ÀÌ±¤Àº,82M3B,2.38,64,271,243,46,76,16,3,5,113,36,17,6,12,7,0,16,6,4,5,0.313,0.356,0.465,0.821,0.365,121.7,2.38,,1982
17,±èÁ¤¼ö,82·Ô1B,2.35,79,333,277,51,76,15,2,11,128,49,15,7,49,2,1,30,4,0,5,0.274,0.381,0.462,0.844,0.381,132.3,2.35,,1982
18,±è¼ºÇÑ,82ÇØ1B,2.23,80,340,318,48,97,17,4,13,161,69,10,5,9,8,0,55,7,0,5,0.305,0.335,0.506,0.842,0.374,128.2,2.23,,1982
19,Çã±Ô¿Á,82»ïLF,2.12,66,242,206,41,60,11,2,3,84,22,27,3,32,1,1,27,3,3,0,0.291,0.389,0.408,0.797,0.366,122.7,2.12,,1982
20,½Å°æ½Ä,82O1B,2.11,77,320,293,40,98,21,3,4,137,54,14,8,20,3,8,17,2,1,3,0.334,0.379,0.468,0.847,0.376,129.4,2.11,,1982
21,±è¿ëÈñ,82·Ô3B,2.1,63,263,232,33,66,7,0,11,106,38,4,1,25,3,2,19,12,0,3,0.284,0.357,0.457,0.814,0.366,122.6,2.1,,1982
22,Â÷¿µÈ­,82ÇØSS,1.63,76,323,282,46,73,9,1,1,87,12,32,10,31,3,0,20,3,5,2,0.259,0.337,0.309,0.645,0.305,82.5,1.63,,1982
23,±è¿ë´Þ,82M3B,1.61,68,191,168,29,53,10,0,5,78,23,2,3,19,0,1,30,6,2,2,0.315,0.381,0.464,0.845,0.379,130.8,1.61,,1982
24,±èÀÎ½Ä,82M2B,1.59,80,355,309,47,80,9,0,3,98,25,35,7,17,18,0,14,7,11,0,0.259,0.334,0.317,0.652,0.303,82.2,1.59,,1982
25,±è¼º°ü,82·ÔLF,1.52,76,304,273,38,75,15,1,7,113,40,16,4,18,8,0,26,8,3,2,0.275,0.336,0.414,0.75,0.34,105.9,1.52,,1982
26,±èÈ£ÀÎ,82»ïCF,1.5,64,237,215,23,60,16,0,6,94,24,4,2,17,1,0,21,4,2,2,0.279,0.332,0.437,0.769,0.346,109.2,1.5,,1982
27,±èÁ¾¸ð,82ÇØLF,1.48,77,286,258,28,75,12,0,10,117,43,7,2,17,3,2,27,7,1,7,0.291,0.333,0.453,0.787,0.349,111.6,1.48,,1982
28,¹Ú¿ë¼º,82·ÔRF,1.42,52,198,171,24,49,6,1,11,90,38,0,2,17,4,1,28,7,2,4,0.287,0.357,0.526,0.884,0.384,133.9,1.42,,1982
29,±èÇÑ±Ù,82»ï3B,1.4,64,227,193,33,51,13,1,5,81,28,4,3,24,2,0,26,1,6,3,0.264,0.347,0.42,0.767,0.342,107.4,1.4,,1982
30,À¯½Â¾È,82MC,1.38,57,166,142,23,36,5,0,9,68,29,2,4,21,0,3,29,2,0,3,0.254,0.343,0.479,0.822,0.359,118.2,1.38,,1982
1,ÀåÈ¿Á¶,83»ïLF,7.4,92,386,317,61,117,19,3,18,196,62,22,2,58,6,6,39,1,0,5,0.369,0.469,0.618,1.087,0.483,215.4,7.4,,1983
2,ÀÌ¸¸¼ö,83»ïC,6.05,98,410,357,53,105,12,0,27,198,74,0,3,41,8,2,51,11,2,2,0.294,0.378,0.555,0.932,0.418,170.3,6.05,,1983
3,±èÀç¹Ú,83MSS,4.69,97,433,373,53,108,22,2,5,149,46,34,12,42,10,2,23,7,4,4,0.29,0.373,0.399,0.772,0.357,130.3,4.69,,1983
4,ÀÌÇØÃ¢,83MCF,4.53,100,444,388,65,114,21,4,8,167,46,26,14,41,7,3,33,5,2,6,0.294,0.367,0.43,0.797,0.365,135.9,4.53,,1983
5,¹ÚÁ¾ÈÆ,83OCF,4.35,97,427,375,53,117,19,6,3,157,24,7,6,38,3,3,28,3,8,3,0.312,0.377,0.419,0.796,0.361,131.4,4.35,,1983
6,±è¿ëÃ¶,83·Ô3B,4.12,97,374,327,47,92,21,2,14,159,38,8,2,38,1,0,47,4,4,4,0.281,0.354,0.486,0.84,0.379,143.3,4.12,,1983
7,±èÁø¿ì,83»ïC,4.12,99,424,364,46,92,10,1,15,149,49,3,1,51,7,8,44,11,0,2,0.253,0.354,0.409,0.763,0.35,122.9,4.12,,1983
8,±èÁ¾¸ð,83ÇØRF,4.08,86,342,311,51,109,17,2,11,163,44,7,10,26,3,3,26,11,0,2,0.35,0.404,0.524,0.928,0.422,175.3,4.08,,1983
9,±è¿ì¿­,83ORF,3.78,95,379,333,48,97,21,5,9,155,56,10,4,39,5,1,38,8,1,1,0.291,0.373,0.465,0.839,0.384,147.9,3.78,,1983
10,ÀÌÁ¾µµ,83MLF,3.72,98,391,341,50,101,25,2,8,154,62,16,6,35,7,0,42,3,4,4,0.296,0.37,0.452,0.821,0.375,143.4,3.72,,1983
11,±è¼ºÇÑ,83ÇØ1B,3.65,96,382,339,59,111,20,0,7,152,40,13,7,38,4,2,38,7,0,1,0.327,0.401,0.448,0.849,0.394,155.0,3.65,,1983
12,¹Ú¿ë¼º,83·ÔRF,3.49,97,398,349,40,100,19,1,17,172,63,6,7,33,8,1,60,8,4,3,0.287,0.359,0.493,0.852,0.383,146.7,3.49,,1983
13,±èºÀ¿¬,83ÇØDH,3.32,80,329,286,53,80,10,1,22,158,59,2,2,42,0,4,28,3,0,1,0.28,0.371,0.552,0.923,0.413,168.5,3.32,,1983
14,±è¿ëÈñ,83·Ô3B,3.15,85,333,298,43,82,8,1,18,146,52,5,6,26,3,1,30,12,2,4,0.275,0.335,0.49,0.825,0.372,138.5,3.15,,1983
15,À±µ¿±Õ,83OLF,3.12,97,411,353,49,97,19,1,10,148,54,7,5,53,2,5,33,5,0,3,0.275,0.37,0.419,0.789,0.364,133.0,3.12,,1983
16,Á¤ÇÐ¼ö,83·ÔSS,3.07,97,401,351,48,98,15,2,3,126,30,9,7,42,1,0,27,7,5,2,0.279,0.356,0.359,0.715,0.334,112.2,3.07,,1983
17,±èÀÏ±Ç,83ÇØCF,3.05,96,419,374,45,103,13,1,6,136,26,48,22,35,6,3,34,7,2,2,0.275,0.345,0.364,0.709,0.331,109.8,3.05,,1983
18,ÀÌ±¤Àº,83M3B,2.98,93,366,329,45,89,12,4,8,133,36,17,6,24,8,1,29,10,2,3,0.271,0.332,0.404,0.737,0.339,116.7,2.98,,1983
19,±è¹«Á¾,83ÇØC,2.97,93,345,309,43,81,19,2,12,140,60,2,5,20,5,2,35,7,6,5,0.262,0.313,0.453,0.766,0.34,116.7,2.97,,1983
20,À¯µÎ¿­,83·ÔDH,2.8,93,344,293,34,90,18,0,9,135,36,7,4,37,7,0,35,5,4,3,0.307,0.394,0.461,0.855,0.391,152.1,2.8,,1983
21,¾ç½Â°ü,83»ïRF,2.6,85,312,278,41,84,15,2,9,130,30,0,2,24,4,2,36,3,5,1,0.302,0.365,0.468,0.832,0.375,140.4,2.6,,1983
22,Á¤±¸¼±,83»ï2B,2.55,97,404,356,44,91,11,0,15,147,35,1,5,35,4,3,43,4,8,1,0.256,0.328,0.413,0.741,0.335,112.4,2.55,,1983
23,ÀÌ¿µ±¸,83»ï2B,2.34,100,418,368,48,102,21,2,5,142,36,5,8,30,4,1,19,10,12,3,0.277,0.336,0.386,0.722,0.326,105.9,2.34,,1983
24,ÇÑ´ëÈ­,83O3B,2.14,88,344,313,39,85,17,5,5,127,44,4,1,16,3,0,43,7,9,3,0.272,0.31,0.406,0.716,0.321,102.9,2.14,,1983
25,±¸Ãµ¼­,83O2B,2.0,66,263,219,39,61,8,4,4,89,27,4,3,21,8,0,36,5,13,2,0.279,0.36,0.406,0.766,0.34,116.4,2.0,,1983
26,¹è´ë¿õ,83»ï3B,1.78,78,268,228,27,65,10,2,2,85,22,6,1,24,1,0,11,5,13,2,0.285,0.353,0.373,0.726,0.325,105.3,1.78,,1983
27,¼­Á¤È¯,83ÇØ2B,1.72,98,358,319,33,82,11,3,3,108,34,13,6,27,4,1,42,10,5,3,0.257,0.32,0.339,0.659,0.306,91.8,1.72,,1983
28,ÇÔÇÐ¼ö,83»ïSS,1.61,93,315,295,40,77,10,2,5,106,32,8,4,12,2,0,29,5,5,1,0.261,0.294,0.359,0.653,0.299,87.7,1.61,,1983
29,±è±Ù¼®,83»ï2B,1.59,89,320,284,35,77,12,0,4,101,28,2,6,15,13,0,37,5,7,1,0.271,0.336,0.356,0.691,0.321,102.5,1.59,,1983
30,±è´ëÁø,83»ïLF,1.59,94,363,311,42,86,11,1,2,105,23,4,1,30,9,0,35,3,10,3,0.277,0.354,0.338,0.692,0.321,102.9,1.59,,1983
1,È«¹®Á¾,84·ÔCF,6.32,100,415,360,62,122,25,7,11,194,53,36,20,43,7,12,36,2,1,4,0.339,0.416,0.539,0.954,0.426,177.7,6.32,,1984
2,ÀÌ¸¸¼ö,84»ïC,6.25,89,342,300,45,102,17,1,23,190,80,3,8,26,12,3,37,10,0,4,0.34,0.409,0.633,1.043,0.467,204.6,6.25,,1984
3,±è¿ëÃ¶,84·Ô1B,5.27,97,396,346,61,113,24,2,21,204,67,8,5,39,4,2,50,6,4,3,0.327,0.398,0.59,0.988,0.441,188.2,5.27,,1984
4,Á¤±¸¼±,84»ï2B,4.69,97,420,351,41,103,14,1,12,155,46,3,2,62,4,3,38,7,1,2,0.293,0.403,0.442,0.845,0.392,151.3,4.69,,1984
5,±èÀç¹Ú,84MSS,4.44,91,392,343,53,103,11,5,7,145,37,26,11,36,5,1,33,6,3,5,0.3,0.37,0.423,0.793,0.366,135.3,4.44,,1984
6,ÀåÈ¿Á¶,84»ïLF,4.37,89,365,309,56,100,19,7,7,154,44,8,8,49,5,8,25,2,0,2,0.324,0.422,0.498,0.92,0.418,169.7,4.37,,1984
7,ÀÌ±¤Àº,84M3B,4.33,99,414,378,53,109,19,3,18,188,68,7,7,28,3,4,51,6,1,4,0.288,0.339,0.497,0.836,0.378,144.8,4.33,,1984
8,À±µ¿±Õ,84OLF,3.92,99,414,349,54,100,14,4,10,152,40,14,3,60,1,8,27,5,0,4,0.287,0.389,0.436,0.824,0.378,141.0,3.92,,1984
9,ÀÌÇØÃ¢,84MCF,3.71,100,426,374,62,102,16,6,7,151,36,36,24,45,3,0,52,2,0,4,0.273,0.352,0.404,0.756,0.353,125.6,3.71,,1984
10,±èÁ¾¸ð,84ÇØRF,3.43,74,310,272,38,86,12,1,14,142,44,2,5,35,0,1,31,10,0,3,0.316,0.39,0.522,0.912,0.416,169.5,3.43,,1984
11,¹ÚÁ¾ÈÆ,84OCF,3.23,99,315,271,35,83,11,2,7,119,37,9,5,26,5,0,18,5,10,3,0.306,0.374,0.439,0.813,0.366,133.0,3.23,,1984
12,±è¿ì¿­,84ORF,3.08,95,373,318,38,87,11,1,12,136,49,13,5,47,5,4,48,5,0,3,0.274,0.373,0.428,0.8,0.371,135.9,3.08,,1984
13,ÇÔÇÐ¼ö,84»ïSS,2.7,100,342,318,38,88,12,0,9,127,45,12,1,17,2,0,38,7,3,2,0.277,0.316,0.399,0.715,0.33,107.6,2.7,,1984
14,¾ç¼¼Á¾,84O1B,2.36,92,338,299,36,90,16,4,6,132,47,8,6,28,4,2,27,5,1,6,0.301,0.362,0.441,0.804,0.368,134.0,2.36,,1984
15,ÀåÅÂ¼ö,84»ïCF,2.28,74,227,192,40,55,13,2,2,78,8,10,2,27,2,0,18,3,5,0,0.286,0.38,0.406,0.786,0.361,129.2,2.28,,1984
16,±èºÀ¿¬,84ÇØDH,2.27,97,400,341,42,85,18,0,17,154,48,3,2,50,4,1,56,16,2,3,0.249,0.349,0.452,0.801,0.368,134.5,2.27,,1984
17,ÀÌ¿µ±¸,84»ï2B,2.18,100,429,378,42,97,23,0,5,135,37,5,4,40,4,3,30,16,5,1,0.257,0.333,0.357,0.691,0.32,100.6,2.18,,1984
18,¿À´ë¼®,84»ï2B,2.17,77,267,231,31,66,10,2,7,101,34,4,4,19,6,0,23,5,11,0,0.286,0.356,0.437,0.793,0.355,125.0,2.17,,1984
19,±è¼ºÇÑ,84ÇØ1B,2.09,98,410,365,48,94,16,2,12,150,41,7,5,39,4,2,59,6,0,2,0.258,0.334,0.411,0.745,0.346,119.0,2.09,,1984
20,±èÁø¿ì,84»ïC,1.98,80,288,245,28,55,8,0,9,90,27,1,1,35,2,0,49,8,5,1,0.224,0.325,0.367,0.692,0.322,101.9,1.98,,1984
21,À¯½Â¾È,84ÇØC,1.91,41,144,118,13,31,9,0,5,55,21,2,0,23,1,0,26,0,1,1,0.263,0.385,0.466,0.851,0.391,150.9,1.91,,1984
22,±è¹«Á¾,84ÇØC,1.9,66,246,217,22,53,14,1,7,90,22,0,1,22,1,0,36,6,5,1,0.244,0.315,0.415,0.73,0.332,108.9,1.9,,1984
23,±è±¤¼ö,84O2B,1.87,100,375,325,38,86,18,2,2,114,21,23,13,27,7,0,25,8,15,1,0.265,0.333,0.351,0.684,0.312,94.6,1.87,,1984
24,Á¤Çö¹ß,84»ï3B,1.82,54,159,132,23,37,6,0,10,73,28,2,2,18,1,1,18,4,7,1,0.28,0.368,0.553,0.922,0.397,155.2,1.82,,1984
25,±è¿ì±Ù,84»ïCF,1.71,76,264,229,30,60,6,3,2,78,21,15,2,24,3,1,21,3,6,2,0.262,0.337,0.341,0.678,0.314,95.8,1.71,,1984
26,±èÀÏÈ¯,84ÇØ2B,1.67,96,361,321,37,88,15,2,0,107,27,4,6,30,3,1,39,7,5,1,0.274,0.341,0.333,0.674,0.316,97.1,1.67,,1984
27,¹Ú½ÂÈ£,84»ïDH,1.65,92,267,220,28,61,11,1,3,83,23,5,3,35,11,3,21,3,0,1,0.277,0.401,0.377,0.778,0.369,135.1,1.65,,1984
28,ÇÑ¹®¿¬,84·ÔC,1.61,63,167,141,14,41,7,0,4,60,16,0,1,19,0,1,15,4,7,0,0.291,0.375,0.426,0.801,0.358,127.7,1.61,,1984
29,±ÇµÎÁ¶,84»ï2B,1.52,100,423,363,38,97,10,2,1,114,25,3,2,36,3,0,36,8,19,2,0.267,0.337,0.314,0.651,0.299,85.2,1.52,,1984
30,±è¿ëÈñ,84·Ô3B,1.48,81,334,311,28,76,13,2,9,120,53,2,1,17,2,1,38,7,0,4,0.244,0.284,0.386,0.67,0.309,92.2,1.48,,1984
1,ÀÌ¸¸¼ö,85»ïC,6.56,103,423,357,63,115,19,2,22,204,87,7,9,42,14,6,37,13,1,9,0.322,0.405,0.571,0.977,0.434,176.4,6.56,,1985
2,ÀåÈ¿Á¶,85»ïLF,5.93,107,422,346,66,129,24,1,11,188,65,17,8,57,4,6,23,6,8,6,0.373,0.46,0.543,1.003,0.446,184.5,5.93,,1985
3,±è¼ºÇÑ,85ÇØ1B,5.43,105,455,400,66,133,29,1,22,230,75,8,5,42,3,2,37,6,4,6,0.333,0.395,0.575,0.97,0.433,176.6,5.43,,1985
4,ÀÌ¼øÃ¶,85ÇØ3B,4.76,99,411,369,67,112,18,5,12,176,50,31,12,33,4,0,48,6,3,2,0.304,0.365,0.477,0.842,0.385,142.7,4.76,,1985
5,±èÀç¹Ú,85MSS,4.67,100,431,377,54,118,15,3,3,148,36,50,17,39,5,1,29,3,6,3,0.313,0.382,0.393,0.775,0.36,125.7,4.67,,1985
6,¼ÛÀÏ¼·,85ÇØLF,3.91,103,390,338,59,104,15,0,15,164,41,3,4,43,6,1,30,7,1,2,0.308,0.393,0.485,0.879,0.405,156.5,3.91,,1985
7,±è¼º·¡,85»ï2B,3.91,103,359,300,40,85,16,0,13,140,51,5,3,41,13,1,39,8,3,2,0.283,0.39,0.467,0.857,0.394,148.2,3.91,,1985
8,Á¤±¸¼±,85»ï2B,3.87,110,468,387,50,101,14,0,14,157,53,2,5,69,7,1,30,11,3,2,0.261,0.381,0.406,0.786,0.369,129.7,3.87,,1985
9,±è¿ëÈñ,85·Ô3B,3.57,101,404,361,49,100,18,2,14,164,47,2,2,37,2,2,33,3,2,2,0.277,0.346,0.454,0.8,0.366,129.5,3.57,,1985
10,±è¿ì±Ù,85»ïCF,3.54,106,460,400,62,115,21,1,5,153,31,31,14,49,1,0,41,12,9,1,0.288,0.366,0.383,0.748,0.348,115.4,3.54,,1985
11,À¯µÎ¿­,85·ÔDH,3.48,103,425,356,61,102,23,4,13,172,50,15,6,45,14,5,38,10,6,4,0.287,0.384,0.483,0.867,0.39,147.1,3.48,,1985
12,¹ÚÁ¾ÈÆ,85ODH,3.18,101,395,348,48,119,19,4,6,164,51,17,8,29,4,1,16,2,9,5,0.342,0.394,0.471,0.865,0.39,145.3,3.18,,1985
13,Çã±Ô¿Á,85»ïRF,3.09,103,345,307,64,101,14,7,3,138,22,26,15,25,4,0,44,3,9,0,0.329,0.387,0.45,0.836,0.38,138.4,3.09,,1985
14,ÀÌÇØÃ¢,85»ïCF,3.08,109,413,352,63,95,12,3,7,134,43,14,11,49,5,0,48,5,4,3,0.27,0.364,0.381,0.745,0.35,117.0,3.08,,1985
15,À±µ¿±Õ,85OLF,2.92,85,335,286,40,83,12,6,8,131,41,6,4,44,1,5,32,5,1,3,0.29,0.383,0.458,0.841,0.383,140.2,2.92,,1985
16,È«¹®Á¾,85·ÔCF,2.82,107,445,393,42,102,23,2,11,162,58,16,12,42,0,1,36,3,6,4,0.26,0.328,0.412,0.74,0.338,109.2,2.82,,1985
17,±è¹ÙÀ§,85»ï2B,2.82,90,306,261,31,64,10,1,13,115,34,7,0,37,6,1,32,6,1,1,0.245,0.351,0.441,0.791,0.365,127.4,2.82,,1985
18,ÀÌ¼±¿õ,85»ï3B,2.78,97,378,337,27,101,19,1,6,140,53,1,2,25,7,0,33,13,5,4,0.3,0.357,0.415,0.772,0.356,120.8,2.78,,1985
19,±Ý±¤¿Á,85»ïC,2.77,73,272,247,29,72,14,0,9,113,36,1,1,20,1,0,35,4,2,2,0.292,0.344,0.457,0.802,0.367,128.5,2.77,,1985
20,½Å°æ½Ä,85O1B,2.72,110,457,404,54,113,23,4,8,168,58,16,3,40,6,5,44,5,4,3,0.28,0.351,0.416,0.767,0.351,117.7,2.72,,1985
21,±èÁø¿ì,85»ïC,2.61,82,316,274,35,73,14,0,8,111,31,0,1,29,6,1,51,11,4,3,0.266,0.346,0.405,0.751,0.346,114.2,2.61,,1985
22,±èÀÏ±Ç,85ÇØCF,2.58,92,361,316,38,88,11,4,4,119,38,39,19,33,3,0,23,4,6,3,0.278,0.349,0.377,0.726,0.337,108.1,2.58,,1985
23,±è±¤¼ö,85OSS,2.51,105,455,384,57,98,17,0,9,142,40,13,12,44,7,2,40,10,16,4,0.255,0.339,0.37,0.709,0.322,97.7,2.51,,1985
24,±è»óÈÆ,85M1B,2.28,98,395,360,33,108,23,4,5,154,51,4,4,29,2,3,42,7,0,4,0.3,0.352,0.428,0.78,0.359,125.1,2.28,,1985
25,±èÇü¼®,85ORF,2.26,91,248,225,29,68,14,5,7,113,24,3,4,18,4,3,39,2,1,0,0.302,0.364,0.502,0.867,0.392,146.5,2.26,,1985
26,±èÁØÈ¯,85ÇØRF,2.18,99,373,336,45,101,20,0,5,136,38,7,6,27,4,0,29,10,1,5,0.301,0.355,0.405,0.76,0.354,120.6,2.18,,1985
27,ÀÌÁ¾µµ,85OCF,2.05,105,322,282,34,76,14,3,4,108,35,3,4,30,4,0,39,6,2,4,0.27,0.344,0.383,0.727,0.339,109.6,2.05,,1985
28,±èºÀ¿¬,85ÇØDH,2.04,91,363,316,45,80,9,1,17,142,47,7,5,43,3,0,26,6,0,1,0.253,0.347,0.449,0.797,0.369,131.0,2.04,,1985
29,Á¤¿µ±â,85·ÔSS,2.02,92,306,280,22,85,11,1,1,101,24,3,1,17,2,0,31,5,7,0,0.304,0.348,0.361,0.709,0.329,102.6,2.02,,1985
30,¼­Á¤È¯,85ÇØ2B,1.96,104,422,371,46,102,13,0,3,124,21,17,12,38,2,0,40,4,11,0,0.275,0.346,0.334,0.68,0.318,94.8,1.96,,1985
1,ÀÌ±¤Àº,86MLF,5.49,107,467,408,59,124,21,3,15,196,60,20,8,48,5,5,53,3,0,6,0.304,0.379,0.48,0.859,0.398,163.6,5.49,,1986
2,ÇÑ´ëÈ­,86ÇØ3B,4.86,103,394,342,50,102,24,2,14,172,66,8,7,40,2,1,40,13,7,3,0.298,0.372,0.503,0.875,0.399,162.7,4.86,,1986
3,ÀåÈ¿Á¶,86»ïLF,4.84,95,367,304,55,100,20,2,6,142,41,16,7,59,1,7,30,6,0,3,0.329,0.436,0.467,0.903,0.42,176.9,4.84,,1986
4,ÀÌ¸¸¼ö,86»ïC,4.42,59,239,212,31,68,8,0,16,124,39,1,0,21,6,2,20,7,0,0,0.321,0.398,0.585,0.982,0.454,201.4,4.42,,1986
5,±èÁ¾¸ð,86ÇØRF,4.35,104,427,383,59,120,19,2,11,176,61,6,5,42,0,4,37,14,2,0,0.313,0.381,0.46,0.841,0.392,157.5,4.35,,1986
6,±èºÀ¿¬,86ÇØDH,4.24,108,453,407,63,122,18,3,21,209,67,3,5,38,4,5,30,9,1,3,0.3,0.363,0.514,0.876,0.404,165.9,4.24,,1986
7,±è¼º·¡,86»ï2B,3.93,102,391,344,47,99,22,1,8,147,48,3,1,34,7,1,42,7,4,2,0.288,0.362,0.427,0.789,0.369,139.9,3.93,,1986
8,ÀÌ°­µ·,86ºùLF,3.67,104,395,347,42,103,14,6,10,159,36,11,11,41,0,0,55,7,6,1,0.297,0.37,0.458,0.828,0.384,149.7,3.67,,1986
9,±èÀç¹Ú,86MSS,3.65,102,447,386,67,102,18,4,4,140,43,38,14,36,7,3,36,6,16,2,0.264,0.336,0.363,0.699,0.32,104.6,3.65,,1986
10,ÀÌ¼øÃ¶,86ÇØCF,3.54,88,358,319,53,82,14,3,14,144,40,19,8,28,5,1,45,11,4,2,0.257,0.325,0.451,0.776,0.359,132.9,3.54,,1986
11,±è¿ëÈñ,86·Ô3B,3.36,83,321,290,29,85,11,3,8,126,37,2,1,26,3,1,18,6,1,1,0.293,0.356,0.434,0.791,0.371,143.3,3.36,,1986
12,±è¿ëÃ¶,86·Ô1B,3.22,102,409,365,43,105,26,1,10,163,57,13,7,35,4,3,39,18,2,3,0.288,0.354,0.447,0.8,0.372,143.8,3.22,,1986
13,±è¼ºÇÑ,86ÇØ1B,3.2,104,449,404,64,113,16,0,18,183,57,10,10,32,6,1,45,8,5,2,0.28,0.34,0.453,0.793,0.368,140.0,3.2,,1986
14,È«¹®Á¾,86·ÔRF,2.95,103,439,387,46,106,20,3,3,141,29,39,17,46,0,3,44,3,4,2,0.274,0.349,0.364,0.714,0.336,116.8,2.95,,1986
15,Á¤±¸¼±,86Ã»RF,2.83,108,443,389,48,102,15,1,13,158,42,3,1,40,4,0,41,5,6,4,0.262,0.334,0.406,0.74,0.346,122.6,2.83,,1986
16,±èÁø¿ì,86Ã»DH,2.8,91,353,301,35,86,19,4,8,137,41,9,6,38,7,1,44,13,3,4,0.286,0.374,0.455,0.829,0.385,150.4,2.8,,1986
17,ÀåÅÂ¼ö,86»ïCF,2.78,96,239,200,35,57,12,1,8,95,29,15,7,22,6,0,26,2,9,2,0.285,0.37,0.475,0.845,0.381,148.4,2.78,,1986
18,ÀÌÁ¾µÎ,86»ïLF,2.72,104,360,323,50,95,10,3,9,138,42,12,7,20,6,0,59,7,8,3,0.294,0.344,0.427,0.771,0.356,130.2,2.72,,1986
19,Çã±Ô¿Á,86»ïRF,2.69,99,419,376,60,110,17,5,4,149,33,26,18,27,4,2,56,3,9,3,0.293,0.344,0.396,0.74,0.341,119.8,2.69,,1986
20,±èµ¿±â,86Ã»C,2.53,87,253,230,20,57,14,1,10,103,26,1,2,19,3,0,48,8,1,0,0.248,0.314,0.448,0.761,0.356,130.0,2.53,,1986
21,±è»óÈÆ,86M1B,2.43,92,402,366,43,108,13,8,2,143,42,3,1,27,4,3,54,5,1,4,0.295,0.347,0.391,0.737,0.345,123.7,2.43,,1986
